algo,n,trial,timeNs,comparisons,swaps,allocations,maxDepth
MergeSort,1000,0,171200,10258,3580,1,7
MergeSort,1000,1,127600,10318,3652,1,7
MergeSort,1000,2,102400,10317,3657,1,7
MergeSort,1000,3,117100,10348,3681,1,7
MergeSort,1000,4,114600,10188,3496,1,7
QuickSort,1000,0,162500,12796,2684,0,7
QuickSort,1000,1,160400,13125,2664,0,7
QuickSort,1000,2,331600,13225,2648,0,6
QuickSort,1000,3,113800,14124,2604,0,6
QuickSort,1000,4,99600,12917,2675,0,7
DeterministicSelect,1000,0,156600,1831,460,24,7
DeterministicSelect,1000,1,185600,2011,492,28,10
DeterministicSelect,1000,2,208500,2057,510,26,7
DeterministicSelect,1000,3,222400,2201,515,32,11
DeterministicSelect,1000,4,253000,2024,502,31,10
ClosestPair,1000,0,1882300,1089,0,2437,10
ClosestPair,1000,1,1547100,1099,0,2437,10
ClosestPair,1000,2,1323000,1097,0,2437,10
ClosestPair,1000,3,1364600,1094,0,2437,10
ClosestPair,1000,4,1332500,1079,0,2437,10
MergeSort,2000,0,163300,22587,7251,1,8
MergeSort,2000,1,179800,22632,7305,1,8
MergeSort,2000,2,171100,22643,7319,1,8
MergeSort,2000,3,168600,22912,7585,1,8
MergeSort,2000,4,164000,22669,7349,1,8
QuickSort,2000,0,122000,29706,5716,0,7
QuickSort,2000,1,115100,28189,5812,0,8
QuickSort,2000,2,116000,30661,5754,0,7
QuickSort,2000,3,113500,30528,5685,0,7
QuickSort,2000,4,112700,30944,5617,0,7
DeterministicSelect,2000,0,427400,3945,977,31,10
DeterministicSelect,2000,1,395900,3992,950,33,9
DeterministicSelect,2000,2,401000,3795,940,33,11
DeterministicSelect,2000,3,395800,3951,996,30,8
DeterministicSelect,2000,4,484800,4041,1042,34,10
ClosestPair,2000,0,3125100,2197,0,4877,11
ClosestPair,2000,1,2872800,2196,0,4877,11
ClosestPair,2000,2,4082800,2233,0,4877,11
ClosestPair,2000,3,4544100,2213,0,4877,11
ClosestPair,2000,4,3184000,2259,0,4877,11
MergeSort,4000,0,436300,49245,14568,1,9
MergeSort,4000,1,484900,49330,14671,1,9
MergeSort,4000,2,569400,49497,14824,1,9
MergeSort,4000,3,542900,49458,14820,1,9
MergeSort,4000,4,537200,49221,14555,1,9
QuickSort,4000,0,253500,69039,12171,0,7
QuickSort,4000,1,252200,65574,12333,0,8
QuickSort,4000,2,302100,66604,12430,0,7
QuickSort,4000,3,304000,64377,12389,0,8
QuickSort,4000,4,308400,65368,12383,0,8
DeterministicSelect,4000,0,137100,7750,1909,36,11
DeterministicSelect,4000,1,157700,8058,1990,39,12
DeterministicSelect,4000,2,169000,8035,1999,38,10
DeterministicSelect,4000,3,151300,7771,1954,38,12
DeterministicSelect,4000,4,142300,8241,2083,42,11
ClosestPair,4000,0,5432500,4417,0,9757,12
ClosestPair,4000,1,5135500,4448,0,9757,12
ClosestPair,4000,2,6575100,4471,0,9757,12
ClosestPair,4000,3,6354300,4485,0,9757,12
ClosestPair,4000,4,7915000,4482,0,9757,12
MergeSort,8000,0,2941600,106950,29605,1,10
MergeSort,8000,1,2952100,106618,29332,1,10
MergeSort,8000,2,1173200,107050,29735,1,10
MergeSort,8000,3,568900,106818,29497,1,10
MergeSort,8000,4,521900,106783,29512,1,10
QuickSort,8000,0,651400,153632,26530,0,8
QuickSort,8000,1,634500,136737,26785,0,9
QuickSort,8000,2,640800,142315,26626,0,8
QuickSort,8000,3,631100,137325,26749,0,9
QuickSort,8000,4,659000,140769,26608,0,9
DeterministicSelect,8000,0,323100,15925,3930,46,13
DeterministicSelect,8000,1,348000,16013,4001,46,13
DeterministicSelect,8000,2,348800,16140,4033,46,13
DeterministicSelect,8000,3,324600,16305,4071,46,13
DeterministicSelect,8000,4,310500,15994,4012,43,11
ClosestPair,8000,0,19954800,8921,0,19517,13
ClosestPair,8000,1,17332800,9015,0,19517,13
ClosestPair,8000,2,17094000,9045,0,19517,13
ClosestPair,8000,3,15810500,9056,0,19517,13
ClosestPair,8000,4,14988600,8951,0,19517,13
MergeSort,16000,0,873400,229522,58903,1,11
MergeSort,16000,1,853200,229124,58501,1,11
MergeSort,16000,2,868600,229131,58592,1,11
MergeSort,16000,3,859800,229110,58506,1,11
MergeSort,16000,4,864000,228310,57698,1,11
QuickSort,16000,0,1053500,329313,56138,0,9
QuickSort,16000,1,1084500,318120,56406,0,9
QuickSort,16000,2,1071400,295807,57449,0,9
QuickSort,16000,3,1114900,306862,56961,0,9
QuickSort,16000,4,1284300,298063,57260,0,10
DeterministicSelect,16000,0,464600,31140,7837,53,14
DeterministicSelect,16000,1,425000,31510,7853,53,14
DeterministicSelect,16000,2,427800,32050,7999,52,12
DeterministicSelect,16000,3,594800,32380,8038,53,14
DeterministicSelect,16000,4,558900,31249,7720,54,14
ClosestPair,16000,0,40143700,18130,0,39037,14
ClosestPair,16000,1,32863400,18084,0,39037,14
ClosestPair,16000,2,35724800,18168,0,39037,14
ClosestPair,16000,3,51942900,18072,0,39037,14
ClosestPair,16000,4,36543600,18087,0,39037,14
