algo,n,trial,timeNs,comparisons,swaps,allocations,maxDepth
MergeSort,1000,0,134900,10258,3580,1,7
MergeSort,1000,1,99900,10318,3652,1,7
MergeSort,1000,2,81200,10317,3657,1,7
MergeSort,1000,3,79200,10348,3681,1,7
MergeSort,1000,4,76000,10188,3496,1,7
QuickSort,1000,0,140200,13829,2659,0,7
QuickSort,1000,1,100000,13422,2630,0,7
QuickSort,1000,2,98200,13511,2619,0,7
QuickSort,1000,3,96600,14033,2597,0,7
QuickSort,1000,4,113200,13773,2620,0,7
DeterministicSelect,1000,0,153800,1831,460,24,7
DeterministicSelect,1000,1,152500,2011,492,28,10
DeterministicSelect,1000,2,156300,2057,510,26,7
DeterministicSelect,1000,3,164500,2201,515,32,11
DeterministicSelect,1000,4,160600,2024,502,31,10
ClosestPair,1000,0,2806500,1089,0,2437,10
ClosestPair,1000,1,2607100,1099,0,2437,10
ClosestPair,1000,2,2090400,1097,0,2437,10
ClosestPair,1000,3,2160700,1094,0,2437,10
ClosestPair,1000,4,2027000,1079,0,2437,10
MergeSort,2000,0,289300,22587,7251,1,8
MergeSort,2000,1,345600,22632,7305,1,8
MergeSort,2000,2,264700,22643,7319,1,8
MergeSort,2000,3,291100,22912,7585,1,8
MergeSort,2000,4,265000,22669,7349,1,8
QuickSort,2000,0,113200,31504,5629,0,7
QuickSort,2000,1,114500,31488,5679,0,7
QuickSort,2000,2,115900,31576,5778,0,7
QuickSort,2000,3,113700,29124,5769,0,7
QuickSort,2000,4,162000,30886,5690,0,7
DeterministicSelect,2000,0,492800,3945,977,31,10
DeterministicSelect,2000,1,501500,3992,950,33,9
DeterministicSelect,2000,2,417900,3795,940,33,11
DeterministicSelect,2000,3,114900,3951,996,30,8
DeterministicSelect,2000,4,115800,4041,1042,34,10
ClosestPair,2000,0,2753600,2197,0,4877,11
ClosestPair,2000,1,3460200,2196,0,4877,11
ClosestPair,2000,2,2900500,2233,0,4877,11
ClosestPair,2000,3,3266000,2213,0,4877,11
ClosestPair,2000,4,5814400,2259,0,4877,11
MergeSort,4000,0,485100,49245,14568,1,9
MergeSort,4000,1,381200,49330,14671,1,9
MergeSort,4000,2,425200,49497,14824,1,9
MergeSort,4000,3,436200,49458,14820,1,9
MergeSort,4000,4,446600,49221,14555,1,9
QuickSort,4000,0,264000,61578,12507,0,8
QuickSort,4000,1,299100,66308,12340,0,8
QuickSort,4000,2,302100,64313,12402,0,8
QuickSort,4000,3,278000,65615,12322,0,8
QuickSort,4000,4,302500,65204,12340,0,8
DeterministicSelect,4000,0,397000,7750,1909,36,11
DeterministicSelect,4000,1,170400,8058,1990,39,12
DeterministicSelect,4000,2,182400,8035,1999,38,10
DeterministicSelect,4000,3,141200,7771,1954,38,12
DeterministicSelect,4000,4,194000,8241,2083,42,11
ClosestPair,4000,0,5733300,4417,0,9757,12
ClosestPair,4000,1,6036800,4448,0,9757,12
ClosestPair,4000,2,7963800,4471,0,9757,12
ClosestPair,4000,3,7394100,4485,0,9757,12
ClosestPair,4000,4,7467100,4482,0,9757,12
MergeSort,8000,0,2239700,106950,29605,1,10
MergeSort,8000,1,2194700,106618,29332,1,10
MergeSort,8000,2,2230000,107050,29735,1,10
MergeSort,8000,3,1988700,106818,29497,1,10
MergeSort,8000,4,1633100,106783,29512,1,10
QuickSort,8000,0,539600,142230,26478,0,8
QuickSort,8000,1,653700,140571,26662,0,9
QuickSort,8000,2,516700,138322,26714,0,9
QuickSort,8000,3,643800,143776,26402,0,8
QuickSort,8000,4,729600,144627,26492,0,8
DeterministicSelect,8000,0,359900,15925,3930,46,13
DeterministicSelect,8000,1,358900,16013,4001,46,13
DeterministicSelect,8000,2,312000,16140,4033,46,13
DeterministicSelect,8000,3,380000,16305,4071,46,13
DeterministicSelect,8000,4,361800,15994,4012,43,11
ClosestPair,8000,0,13644400,8921,0,19517,13
ClosestPair,8000,1,12986400,9015,0,19517,13
ClosestPair,8000,2,12738900,9045,0,19517,13
ClosestPair,8000,3,14609300,9056,0,19517,13
ClosestPair,8000,4,13721400,8951,0,19517,13
MergeSort,16000,0,1588800,229522,58903,1,11
MergeSort,16000,1,2975100,229124,58501,1,11
MergeSort,16000,2,2610000,229131,58592,1,11
MergeSort,16000,3,1167200,229110,58506,1,11
MergeSort,16000,4,1069800,228310,57698,1,11
QuickSort,16000,0,1374500,308428,56761,0,10
QuickSort,16000,1,1358200,300107,57003,0,10
QuickSort,16000,2,1256200,302515,57243,0,9
QuickSort,16000,3,1155400,297772,57180,0,9
QuickSort,16000,4,1062200,306537,56974,0,10
DeterministicSelect,16000,0,701100,31140,7837,53,14
DeterministicSelect,16000,1,717200,31510,7853,53,14
DeterministicSelect,16000,2,476800,32050,7999,52,12
DeterministicSelect,16000,3,482600,32380,8038,53,14
DeterministicSelect,16000,4,480200,31249,7720,54,14
ClosestPair,16000,0,22799500,18130,0,39037,14
ClosestPair,16000,1,23598800,18084,0,39037,14
ClosestPair,16000,2,27716500,18168,0,39037,14
ClosestPair,16000,3,26971000,18072,0,39037,14
ClosestPair,16000,4,26349600,18087,0,39037,14
